CustomerID,Age,Gender,Country,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,WebsiteVisitsFrequency,Item,Churn
33,,Non-Binary,Indonesia,,36,1426.05,Home Goods,1/1/2024,Communications engineer,Daily,Coffee Maker,FALSE
34,41,Non-Binary,Pakistan,Silver,28,298.52,Clothing,3/7/2023,"Engineer, technical sales",Daily,Jeans,FALSE
35,60,Male,Philippines,Gold,50,1141.77,Clothing,22/2/2023,Risk manager,Weekly,Jeans,FALSE
36,29,Female,Turkey,Bronze,12,1486.3,Clothing,9/6/2023,"Surveyor, commercial/residential",Weekly,T-Shirt,TRUE
37,20,Female,Japan,Silver,13,1642.34,Clothing,10/7/2023,Electronics engineer,Bi-weekly,Jeans,FALSE
38,19,Non-Binary,China,Silver,26,690.11,Electronics,16/8/2023,"Surveyor, mining",Bi-weekly,Smartwatch,TRUE
39,19,Male,China,Gold,12,1182.15,Clothing,17/12/2023,"Buyer, industrial",Daily,Sneakers,TRUE
40,45,Non-Binary,Philippines,Bronze,25,1804.03,Electronics,28/8/2023,Heritage manager,Daily,Laptop,FALSE
41,41,Female,Pakistan,Bronze,43,1845.5,Home Goods,29/7/2023,Data scientist,Daily,Bedding Set,TRUE
42,60,Female,Iran,Gold,26,1409.56,Home Goods,1/11/2023,Higher education lecturer,Weekly,Lamp,FALSE
43,57,Non-Binary,Japan,Gold,26,1118.48,Electronics,3/8/2023,Museum/gallery curator,Bi-weekly,Headphones,TRUE
44,46,Female,Vietnam,Silver,33,972.71,Home Goods,11/10/2023,Cartographer,Daily,Bedding Set,FALSE
45,33,Non-Binary,Vietnam,Gold,15,1622.8,Electronics,24/12/2023,Catering manager,Daily,Smartwatch,FALSE
46,47,Female,Indonesia,Silver,46,1407.89,Clothing,15/6/2023,"Therapist, nutritional",Weekly,T-Shirt,FALSE
47,45,Male,Turkey,Silver,45,1060.02,Electronics,26/3/2023,Energy manager,Weekly,Laptop,TRUE
48,26,Female,Iran,Gold,49,1788.28,Home Goods,22/4/2023,Actuary,Monthly,Lamp,FALSE
49,65,Female,Iran,Platinum,17,1515.96,Home Goods,17/8/2023,TEFL teacher,Monthly,Bedding Set,TRUE
50,22,Non-Binary,Pakistan,Gold,16,579.84,Clothing,4/4/2023,Lexicographer,Daily,Jeans,TRUE
51,62,Male,Indonesia,Silver,5,858.99,Clothing,3/4/2023,Warehouse manager,Monthly,Jeans,TRUE
52,42,Non-Binary,India,Bronze,49,1172.6,Clothing,2/1/2024,Arboriculturist,Bi-weekly,Dress,TRUE
53,52,Non-Binary,India,Silver,32,477.87,Clothing,2/5/2023,Immigration officer,Daily,Dress,FALSE
54,47,Male,Indonesia,Bronze,26,1204.19,Home Goods,23/12/2023,"Radiographer, diagnostic",Daily,Coffee Maker,TRUE
55,29,Male,Philippines,Gold,25,688.34,Clothing,22/7/2023,Travel agency manager,Bi-weekly,Dress,TRUE
56,44,Female,Philippines,Bronze,31,87.8,Home Goods,10/12/2023,Financial risk analyst,Bi-weekly,Couch,FALSE
57,19,Male,Vietnam,Silver,2,1261.6,Electronics,2/11/2023,Educational psychologist,Monthly,Smartphone,TRUE
58,62,Female,Turkey,Gold,11,1231.49,Home Goods,8/11/2023,Primary school teacher,Weekly,Couch,FALSE
59,37,Non-Binary,China,Platinum,26,1885.87,Electronics,28/11/2023,"Engineer, communications",Weekly,Headphones,FALSE
60,,Male,India,,35,885.34,Clothing,1/12/2023,Music tutor,Bi-weekly,Dress,TRUE
61,24,Female,Turkey,Gold,41,1788.57,Clothing,8/1/2023,"Engineer, production",Weekly,Sneakers,TRUE
62,47,Female,Japan,Gold,21,1710.84,Electronics,16/8/2023,Oncologist,Monthly,Smartwatch,TRUE
63,39,Male,Philippines,Platinum,21,404.59,Electronics,8/7/2023,Systems developer,Bi-weekly,Headphones,FALSE
64,51,Male,China,Bronze,16,1454.15,Clothing,27/3/2023,Cartographer,Weekly,Dress,TRUE
65,19,Male,Bangladesh,Gold,15,838.58,Electronics,2/8/2023,Museum/gallery exhibitions officer,Bi-weekly,Headphones,TRUE
66,65,Non-Binary,Indonesia,Gold,23,1420.57,Clothing,2/8/2023,Event organiser,Bi-weekly,Jeans,TRUE
67,25,Non-Binary,India,Silver,13,471.95,Clothing,17/8/2023,Farm manager,Bi-weekly,Jeans,TRUE
68,,Female,Bangladesh,,20,77.59,Home Goods,2/11/2023,Patent examiner,Bi-weekly,Couch,TRUE
69,62,Male,Turkey,Platinum,7,1751.8,Home Goods,13/8/2023,Exhibition designer,Monthly,Bedding Set,FALSE
70,21,Female,Indonesia,Platinum,8,1653.13,Clothing,29/4/2023,Patent examiner,Daily,T-Shirt,FALSE
71,27,Non-Binary,Indonesia,Gold,6,1988.14,Electronics,26/3/2023,Race relations officer,Monthly,Smartphone,TRUE
72,46,Female,Turkey,Gold,38,1980.56,Clothing,20/3/2023,Psychotherapist,Daily,T-Shirt,FALSE
73,58,Male,Iran,Gold,43,208.32,Electronics,9/10/2023,"Engineer, chemical",Daily,Smartwatch,TRUE
74,62,Non-Binary,China,Platinum,19,113.65,Clothing,9/1/2023,Clothing/textile technologist,Bi-weekly,Dress,FALSE
75,61,Male,Japan,Gold,41,1200.09,Electronics,2/6/2023,Visual merchandiser,Daily,Smartphone,TRUE
76,27,Male,Bangladesh,Bronze,11,1595.63,Home Goods,20/3/2023,Chartered management accountant,Bi-weekly,Lamp,TRUE
77,62,Female,Pakistan,Gold,33,1102.96,Clothing,25/11/2023,Accounting technician,Daily,Sneakers,TRUE
78,19,Male,,Silver,44,1680.12,Home Goods,11/3/2023,Landscape architect,Daily,Bedding Set,FALSE
79,29,Female,Vietnam,Platinum,18,403.9,Home Goods,27/5/2023,Accounting technician,Monthly,Lamp,TRUE
80,44,Female,Turkey,Gold,43,253.97,Electronics,21/7/2023,Theatre director,Monthly,Headphones,TRUE
81,53,Male,Indonesia,Platinum,6,663.31,Clothing,7/11/2023,Acupuncturist,Monthly,T-Shirt,TRUE
82,44,Male,Turkey,Silver,34,755.47,Clothing,19/2/2023,Environmental health practitioner,Monthly,Jeans,TRUE
83,53,Male,Turkey,Gold,29,1767.65,Clothing,4/11/2023,Printmaker,Daily,Jeans,FALSE
84,37,Non-Binary,Philippines,Bronze,36,845.58,Electronics,8/11/2023,Ecologist,Monthly,Smartphone,TRUE
85,63,Female,Turkey,Gold,27,1677.71,Clothing,3/9/2023,"Engineer, civil (consulting)",Monthly,Dress,FALSE
86,56,Non-Binary,Pakistan,Silver,5,588.68,Clothing,15/7/2023,"Administrator, education",Bi-weekly,Sneakers,TRUE
87,55,Non-Binary,Philippines,Platinum,10,920.77,Clothing,13/7/2023,Market researcher,Bi-weekly,Dress,TRUE
88,38,Male,Japan,Silver,37,796.79,Clothing,14/12/2023,"Engineer, structural",Bi-weekly,Dress,TRUE
89,60,Non-Binary,Turkey,Silver,32,1931.41,Electronics,23/4/2023,Fine artist,Bi-weekly,Smartwatch,FALSE
90,51,Female,Pakistan,Bronze,47,331.1,Home Goods,18/10/2023,Dancer,Daily,Bedding Set,TRUE
91,57,Non-Binary,,Platinum,42,206.61,Clothing,25/1/2023,Professor Emeritus,Monthly,Dress,FALSE
92,57,Male,Turkey,Silver,41,1384.58,Clothing,11/9/2023,"Therapist, occupational",Daily,T-Shirt,FALSE
93,46,Male,,Gold,2,139.68,Electronics,8/8/2023,"Engineer, electrical",Bi-weekly,Smartphone,FALSE
94,51,Female,China,Silver,11,391.39,Home Goods,24/6/2023,Sports therapist,Weekly,Coffee Maker,FALSE
95,47,Non-Binary,China,Gold,30,547.89,Electronics,12/5/2023,Control and instrumentation engineer,Bi-weekly,Smartphone,FALSE
96,46,Female,India,Gold,41,1925.96,Home Goods,30/8/2023,Ranger/warden,Monthly,Coffee Maker,TRUE
97,,Male,Bangladesh,,25,1165.25,Home Goods,7/8/2023,Podiatrist,Bi-weekly,Lamp,TRUE
98,18,Non-Binary,Pakistan,Bronze,39,1503.09,Clothing,10/9/2023,"Editor, commissioning",Bi-weekly,Jeans,TRUE
99,61,Non-Binary,Iran,Silver,41,239.47,Home Goods,9/2/2023,"Designer, furniture",Daily,Lamp,FALSE
100,55,Female,Pakistan,Silver,6,1823.77,Clothing,7/6/2023,"Development worker, international aid",Weekly,Sneakers,TRUE
101,28,Female,Philippines,Platinum,19,1505.79,Clothing,8/11/2023,Firefighter,Monthly,Jeans,FALSE
102,61,Non-Binary,India,Platinum,36,763.26,Clothing,29/12/2023,Brewing technologist,Bi-weekly,Dress,TRUE
103,61,Non-Binary,Japan,Gold,38,793,Home Goods,29/6/2023,Financial manager,Daily,Lamp,FALSE
104,57,Non-Binary,Vietnam,Gold,40,481.67,Electronics,14/2/2023,"Therapist, speech and language",Monthly,Headphones,TRUE
105,25,Male,China,Bronze,3,643.51,Clothing,7/11/2023,Food technologist,Daily,Jeans,TRUE
106,47,Female,,Platinum,38,1497.42,Electronics,7/6/2023,Wellsite geologist,Daily,Smartwatch,TRUE
107,20,Non-Binary,Japan,Gold,14,914.6,Electronics,4/7/2023,Armed forces logistics/support/administrative officer,Daily,Headphones,TRUE
108,21,Female,India,Gold,13,1938,Clothing,20/11/2023,"Journalist, newspaper",Weekly,T-Shirt,FALSE
109,39,Male,Pakistan,Silver,37,450.15,Home Goods,21/9/2023,Communications engineer,Weekly,Coffee Maker,TRUE
110,27,Non-Binary,Indonesia,Bronze,18,1723.89,Electronics,31/10/2023,Medical secretary,Bi-weekly,Laptop,FALSE
111,,Male,Bangladesh,,16,1198.26,Electronics,8/10/2023,Special educational needs teacher,Bi-weekly,Smartwatch,FALSE
112,65,Male,India,Platinum,29,1567.13,Home Goods,8/3/2023,"Engineer, manufacturing",Daily,Coffee Maker,FALSE
113,64,Non-Binary,,Gold,30,1304.51,Electronics,5/12/2023,"Pharmacist, community",Monthly,Smartwatch,FALSE
114,,Non-Binary,Turkey,,5,1803.57,Clothing,28/2/2023,Scientific laboratory technician,Weekly,Sneakers,TRUE
115,42,Non-Binary,India,Gold,30,1035.82,Clothing,16/11/2023,Community education officer,Daily,Jeans,TRUE
116,46,Male,Pakistan,Platinum,22,1663.47,Clothing,7/6/2023,"Doctor, general practice",Daily,Sneakers,TRUE
117,,Male,Vietnam,,5,227.89,Electronics,19/11/2023,Visual merchandiser,Monthly,Headphones,FALSE
118,53,Male,Philippines,Gold,43,288.35,Clothing,30/1/2023,Estate manager/land agent,Monthly,T-Shirt,TRUE
119,56,Female,Indonesia,Gold,7,1176.94,Electronics,18/10/2023,Chartered certified accountant,Monthly,Laptop,TRUE
120,53,Female,Philippines,Bronze,49,593.21,Electronics,31/5/2023,Cartographer,Daily,Headphones,FALSE
121,,Female,Vietnam,,22,734.5,Electronics,24/10/2023,"Copywriter, advertising",Monthly,Laptop,FALSE
122,65,Non-Binary,Turkey,Silver,25,868.67,Clothing,17/10/2023,"Surveyor, minerals",Bi-weekly,Sneakers,FALSE
123,21,Male,Vietnam,Silver,49,1254.78,Home Goods,25/11/2023,Warehouse manager,Bi-weekly,Lamp,TRUE
124,56,Female,Bangladesh,Platinum,18,470.36,Home Goods,8/11/2023,"Designer, exhibition/display",Bi-weekly,Bedding Set,TRUE
125,51,Non-Binary,China,Gold,3,480.01,Home Goods,8/12/2023,"Engineer, production",Daily,Coffee Maker,FALSE
126,34,Female,,Gold,8,65.07,Home Goods,30/5/2023,"Administrator, Civil Service",Weekly,Coffee Maker,TRUE
127,22,Female,,Bronze,28,86.55,Electronics,29/7/2023,Diagnostic radiographer,Monthly,Smartwatch,TRUE
128,,Female,Iran,,21,385.15,Home Goods,15/5/2023,"Scientist, research (medical)",Bi-weekly,Couch,FALSE
129,45,Non-Binary,Turkey,Platinum,34,203.36,Clothing,16/7/2023,Energy engineer,Weekly,Jeans,FALSE
130,50,Non-Binary,,Bronze,34,1044.41,Clothing,10/7/2023,"Development worker, community",Weekly,Jeans,TRUE
131,30,Male,,Silver,49,1530.35,Electronics,7/10/2023,"Programme researcher, broadcasting/film/video",Monthly,Smartwatch,TRUE
132,58,Female,India,Silver,29,183.16,Clothing,16/2/2023,Geochemist,Bi-weekly,T-Shirt,TRUE
133,,Male,Pakistan,,30,931.23,Electronics,1/7/2023,Warden/ranger,Bi-weekly,Laptop,TRUE
134,47,Non-Binary,Iran,Bronze,29,1822.65,Home Goods,6/2/2023,Radiation protection practitioner,Weekly,Lamp,FALSE
135,,Female,,,22,1965.65,Electronics,22/4/2023,"Scientist, product/process development",Weekly,Smartwatch,TRUE
136,51,Non-Binary,India,Silver,24,777.06,Clothing,21/6/2023,Printmaker,Monthly,T-Shirt,TRUE
137,22,Female,Iran,Bronze,36,1372.84,Clothing,29/8/2023,Health and safety inspector,Weekly,Jeans,TRUE
138,37,Non-Binary,Japan,Platinum,9,1210.33,Electronics,31/7/2023,Health service manager,Monthly,Headphones,FALSE
139,60,Non-Binary,Pakistan,Bronze,42,1357.39,Home Goods,4/7/2023,Microbiologist,Daily,Coffee Maker,FALSE
140,39,Female,Japan,Silver,15,1999.95,Electronics,27/11/2023,Environmental education officer,Bi-weekly,Laptop,FALSE
141,60,Female,Philippines,Silver,39,784.6,Electronics,5/10/2023,Contracting civil engineer,Weekly,Laptop,TRUE
142,41,Non-Binary,Bangladesh,Silver,29,1240.66,Home Goods,21/5/2023,Careers information officer,Weekly,Bedding Set,TRUE
143,30,Female,,Platinum,30,1550.41,Clothing,23/4/2023,Chief Financial Officer,Monthly,Jeans,FALSE
144,34,Male,Iran,Platinum,24,1131.35,Electronics,6/1/2023,Insurance underwriter,Daily,Smartphone,TRUE
145,46,Non-Binary,,Silver,28,228.84,Electronics,20/5/2023,"Restaurant manager, fast food",Bi-weekly,Smartwatch,FALSE
146,,Non-Binary,Pakistan,,16,803.02,Electronics,28/6/2023,Network engineer,Weekly,Laptop,TRUE
147,27,Male,Indonesia,Bronze,19,1838.92,Clothing,14/1/2023,Call centre manager,Weekly,Dress,TRUE
148,57,Male,India,Bronze,2,549.05,Electronics,31/3/2023,Ceramics designer,Monthly,Headphones,FALSE
149,37,Male,Japan,Bronze,16,868.66,Home Goods,16/5/2023,Cytogeneticist,Daily,Lamp,FALSE
150,58,Non-Binary,Vietnam,Silver,46,329.97,Clothing,5/1/2024,Newspaper journalist,Bi-weekly,Dress,FALSE
151,60,Non-Binary,Bangladesh,Bronze,34,1950.58,Electronics,11/4/2023,Colour technologist,Daily,Smartwatch,FALSE
152,58,Female,,Gold,17,1507.27,Clothing,2/12/2023,Horticultural consultant,Bi-weekly,T-Shirt,TRUE
153,26,Male,Turkey,Gold,35,710.17,Home Goods,8/10/2023,Licensed conveyancer,Monthly,Lamp,FALSE
154,26,Male,India,Platinum,3,622.21,Electronics,25/9/2023,Ship broker,Daily,Headphones,TRUE
155,52,Female,Indonesia,Gold,3,1518.92,Electronics,12/8/2023,Interpreter,Bi-weekly,Laptop,TRUE
156,35,Male,India,Gold,28,1784.5,Home Goods,25/5/2023,Civil Service fast streamer,Monthly,Coffee Maker,TRUE
157,62,Female,Indonesia,Gold,34,570.11,Electronics,2/6/2023,Chiropractor,Daily,Smartphone,TRUE
158,38,Male,Iran,Bronze,21,1338.79,Clothing,22/5/2023,Tour manager,Monthly,Dress,TRUE
159,,Male,Japan,,40,1996.39,Clothing,12/2/2023,Archivist,Daily,Dress,TRUE
160,,Non-Binary,Bangladesh,,2,328.42,Home Goods,23/1/2023,"Programme researcher, broadcasting/film/video",Monthly,Couch,FALSE
161,59,Female,Bangladesh,Gold,25,1901.46,Electronics,2/3/2023,Trade union research officer,Weekly,Headphones,TRUE
162,46,Male,,Silver,34,765.55,Clothing,7/2/2023,Banker,Bi-weekly,T-Shirt,FALSE
163,65,Male,Philippines,Platinum,34,804.63,Home Goods,6/11/2023,"Scientist, audiological",Bi-weekly,Lamp,FALSE
164,57,Female,,Platinum,13,289.14,Electronics,19/5/2023,"Surveyor, mining",Weekly,Smartwatch,FALSE
165,61,Female,Indonesia,Gold,46,176.63,Home Goods,10/8/2023,"Merchandiser, retail",Bi-weekly,Coffee Maker,TRUE
166,50,Male,Bangladesh,Bronze,13,1594.53,Electronics,28/4/2023,Ranger/warden,Daily,Headphones,TRUE
167,53,Male,Vietnam,Bronze,5,653.12,Home Goods,5/5/2023,Leisure centre manager,Monthly,Couch,FALSE
168,38,Non-Binary,Philippines,Bronze,29,958.37,Home Goods,13/7/2023,Occupational hygienist,Weekly,Coffee Maker,FALSE
169,45,Non-Binary,,Bronze,8,1060.3,Clothing,13/10/2023,Town planner,Weekly,Jeans,TRUE
170,51,Female,Indonesia,Bronze,17,432.79,Home Goods,18/8/2023,Herbalist,Weekly,Couch,FALSE
171,55,Non-Binary,Japan,Silver,11,1334.53,Home Goods,2/3/2023,"Engineer, biomedical",Bi-weekly,Couch,FALSE
172,23,Male,Indonesia,Gold,42,461.08,Home Goods,6/6/2023,Clinical biochemist,Daily,Bedding Set,TRUE
173,48,Male,China,Platinum,20,934.41,Home Goods,6/12/2023,Corporate investment banker,Weekly,Lamp,TRUE
174,31,Female,China,Silver,21,1729.9,Clothing,13/7/2023,Geochemist,Monthly,Sneakers,FALSE
175,,Male,Pakistan,,8,571.57,Electronics,25/10/2023,Firefighter,Daily,Smartwatch,TRUE
176,33,Male,India,Gold,37,1456.2,Electronics,16/10/2023,"Designer, television/film set",Monthly,Smartwatch,TRUE
177,37,Female,Turkey,Bronze,6,1893.2,Home Goods,16/5/2023,"Administrator, education",Weekly,Bedding Set,FALSE
178,21,Female,Philippines,Platinum,39,1770.56,Home Goods,26/1/2023,Tax inspector,Monthly,Couch,FALSE
179,45,Male,Indonesia,Gold,47,763.27,Clothing,2/7/2023,Forest/woodland manager,Daily,Jeans,TRUE
180,53,Female,Pakistan,Bronze,25,1033.3,Home Goods,15/8/2023,Communications engineer,Daily,Couch,TRUE
181,41,Female,Indonesia,Gold,49,331.32,Home Goods,20/4/2023,"Production assistant, radio",Monthly,Couch,FALSE
182,26,Non-Binary,China,Gold,31,1062.7,Electronics,1/3/2023,Barista,Weekly,Headphones,FALSE
183,43,Non-Binary,Japan,Gold,38,705.93,Home Goods,8/4/2023,Arboriculturist,Monthly,Bedding Set,TRUE
184,19,Female,Philippines,Gold,44,263.73,Clothing,13/3/2023,Commissioning editor,Bi-weekly,T-Shirt,TRUE
185,34,Non-Binary,Pakistan,Silver,47,150.14,Clothing,10/10/2023,Restaurant manager,Monthly,Jeans,FALSE
186,54,Non-Binary,India,Bronze,13,86.93,Clothing,5/6/2023,Learning mentor,Weekly,Jeans,TRUE
187,50,Non-Binary,China,Platinum,48,1468.43,Home Goods,27/10/2023,Special effects artist,Weekly,Lamp,TRUE
188,38,Male,Pakistan,Platinum,35,717.54,Clothing,24/1/2023,Personal assistant,Bi-weekly,Jeans,FALSE
189,35,Non-Binary,Vietnam,Gold,15,1885.9,Clothing,11/8/2023,Insurance broker,Weekly,Dress,TRUE
190,48,Female,Pakistan,Gold,19,287.65,Home Goods,2/4/2023,Radio producer,Monthly,Lamp,TRUE
191,27,Female,Pakistan,Bronze,19,1912.86,Electronics,12/7/2023,Arts development officer,Monthly,Smartwatch,FALSE
192,30,Non-Binary,Bangladesh,Gold,36,1407.53,Electronics,11/11/2023,"Therapist, drama",Weekly,Smartphone,FALSE
193,,Male,Bangladesh,,22,1448.85,Electronics,22/1/2023,"Accountant, chartered",Weekly,Smartphone,TRUE
194,59,Female,Turkey,Platinum,42,438.94,Clothing,25/7/2023,Prison officer,Bi-weekly,T-Shirt,FALSE
195,52,Non-Binary,Turkey,Bronze,12,864.88,Electronics,18/12/2023,Commissioning editor,Monthly,Smartphone,TRUE
196,20,Male,China,Gold,37,1225.43,Clothing,13/8/2023,Amenity horticulturist,Monthly,Dress,FALSE
197,50,Female,Bangladesh,Gold,13,1627.19,Clothing,14/10/2023,Planning and development surveyor,Monthly,Jeans,FALSE
198,65,Female,,Gold,37,1365.08,Electronics,8/10/2023,Waste management officer,Monthly,Headphones,FALSE
199,,Non-Binary,Iran,,12,1964.29,Clothing,24/7/2023,Newspaper journalist,Weekly,Dress,FALSE
200,46,Female,Japan,Gold,20,1185.8,Home Goods,31/12/2023,Manufacturing engineer,Bi-weekly,Coffee Maker,FALSE
201,60,Male,Turkey,Platinum,20,361.45,Home Goods,23/4/2023,"Geneticist, molecular",Bi-weekly,Bedding Set,TRUE
202,57,Male,Iran,Silver,9,982.45,Clothing,1/3/2023,Industrial buyer,Bi-weekly,Dress,FALSE
203,33,Non-Binary,China,Bronze,34,921.16,Home Goods,4/7/2023,Film/video editor,Daily,Couch,FALSE
204,53,Non-Binary,China,Silver,37,1096.49,Electronics,22/7/2023,Camera operator,Monthly,Smartphone,TRUE
205,23,Non-Binary,Turkey,Platinum,4,934.19,Home Goods,7/6/2023,Leisure centre manager,Monthly,Lamp,TRUE
206,,Male,Pakistan,,17,1642.08,Home Goods,16/9/2023,Community arts worker,Daily,Bedding Set,FALSE
207,52,Male,India,Bronze,31,111.88,Clothing,5/10/2023,Production engineer,Weekly,Dress,TRUE
208,42,Female,Japan,Platinum,25,206.49,Home Goods,4/4/2023,"Social research officer, government",Weekly,Bedding Set,FALSE
209,29,Non-Binary,India,Platinum,34,298.33,Electronics,4/1/2024,"Psychologist, occupational",Daily,Smartwatch,TRUE
210,52,Female,Bangladesh,Silver,16,948.22,Electronics,17/8/2023,Retail buyer,Weekly,Laptop,FALSE
211,60,Female,Philippines,Bronze,16,451.86,Electronics,7/3/2023,Sport and exercise psychologist,Daily,Laptop,FALSE
212,65,Male,Bangladesh,Platinum,29,506.96,Electronics,8/12/2023,"Psychologist, prison and probation services",Weekly,Headphones,FALSE
213,64,Non-Binary,Pakistan,Gold,37,1215.94,Home Goods,25/7/2023,Contracting civil engineer,Weekly,Coffee Maker,FALSE
214,44,Female,Philippines,Gold,4,1135.6,Home Goods,8/10/2023,Production manager,Monthly,Couch,TRUE
215,59,Non-Binary,Indonesia,Platinum,34,671.53,Clothing,10/6/2023,Museum education officer,Weekly,Jeans,TRUE
216,33,Male,Bangladesh,Gold,46,331.49,Clothing,7/12/2023,Personal assistant,Monthly,Jeans,TRUE
217,33,Female,China,Silver,22,1311.08,Clothing,30/6/2023,Environmental manager,Daily,Jeans,FALSE
218,35,Female,Pakistan,Bronze,5,416.92,Home Goods,27/1/2023,"Clinical scientist, histocompatibility and immunogenetics",Weekly,Bedding Set,TRUE
219,18,Male,Iran,Silver,48,278.77,Clothing,3/9/2023,Artist,Weekly,Jeans,TRUE
220,36,Female,Japan,Platinum,35,1315.01,Clothing,25/8/2023,"Teacher, special educational needs",Bi-weekly,Dress,TRUE
221,24,Non-Binary,Vietnam,Platinum,49,1687.48,Electronics,30/6/2023,English as a second language teacher,Bi-weekly,Smartphone,FALSE
222,19,Female,Turkey,Platinum,19,347.2,Clothing,10/9/2023,Industrial buyer,Monthly,Jeans,TRUE
223,53,Non-Binary,Indonesia,Gold,17,1538.55,Clothing,11/2/2023,Media buyer,Monthly,Sneakers,FALSE
224,26,Non-Binary,Bangladesh,Platinum,12,1837.95,Home Goods,11/2/2023,Psychotherapist,Daily,Couch,FALSE
225,18,Female,Iran,Silver,41,501.3,Home Goods,20/10/2023,Chartered accountant,Daily,Lamp,TRUE
226,,Non-Binary,Pakistan,,43,1001.32,Electronics,8/4/2023,Insurance account manager,Monthly,Headphones,TRUE
227,19,Non-Binary,Pakistan,Platinum,12,258.68,Electronics,12/4/2023,Audiological scientist,Weekly,Headphones,TRUE
228,35,Female,,Bronze,24,1920.63,Clothing,22/3/2023,"Scientist, research (life sciences)",Weekly,Jeans,TRUE
229,,Male,Pakistan,,6,840.29,Clothing,29/3/2023,Ranger/warden,Monthly,T-Shirt,FALSE
230,23,Female,Iran,Platinum,42,1579.53,Home Goods,18/11/2023,"Therapist, drama",Daily,Lamp,TRUE
